smiles,idx,min_dist_w_bond,min_dist_wo_bond,num_atoms,flag
CC(C(=NC(B(F)F)C(C)C)O)N,6925,0.937000036239624,0.8407120704650879,28,train
Fc1ccc(cc1)Oc1ccccc1B(O)O,8974,0.9999998211860657,0.2083614319562912,27,train
COc1nccc(c1B(O)O)SC,9792,0.9699999690055847,0.47590911388397217,23,train
Nc1cc(cc(c1)C(=O)N(C)C)B(O)O,10188,0.9700000286102295,0.7177770733833313,28,train
N#Cc1cc(C)c(c(c1)C)B(O)O,10944,0.9699998497962952,0.6569151282310486,23,train
COC1C=CC=C2C1=NC(=O)C=C2C.Cl,15232,1.0699998140335083,0.19581636786460876,27,train
CSCC[C@@H](C(=O)N(CB(O)O)C)N,16783,0.9999998211860657,0.6949346661567688,31,train
NCCCC[C@@H](C(=O)N(CB(O)O)C)N,16788,0.9999998807907104,0.7788912653923035,35,train
CCCC(=NB(CC)CC)c1ccccc1,21803,1.0699996948242188,0.5042595267295837,38,train
COP(C(=C(F)C)F)(OC)(OC)F,26575,1.0699998140335083,0.6984089612960815,25,train
CCB(ON(=CC(=O)OC)=O)CC,28065,1.0699996948242188,0.5760112404823303,27,train
CCCB(N=c1ccccn1C)CCC,28351,1.0699999332427979,0.33888038992881775,36,train
CCB(ON(=CC)=O)CC,28713,1.0699996948242188,0.5760112404823303,24,train
CCB(ON(=CC(=O)N)=O)CC,28784,1.0200001001358032,0.5760111808776855,25,train
ONC(=N)CC(CC(C)C)CNB(O)C,2616578,0.9999997615814209,0.73484867811203,37,train
ON=C(CC(CC(C)C)CNB(O)C)C,31238,1.0,0.7348487377166748,38,train
OCc1cc(C)c(c(c1)C)B(O)O,31905,0.9699999094009399,0.6569153666496277,26,train
O=COCCc1ccc(c(c1)N(=O)=O)B(O)O,31961,0.9699999094009399,0.5450510382652283,27,train
C1=CCC2C(=C1)NC1=C2C=CN2C(=C1)C=CC=C2,36813,0.8662617206573486,0.8662617206573486,32,train
CCB1OC(C)CO[Si](C(=C1CC)C)(C)C,2728890,1.0699996948242188,0.7773171067237854,41,train
CB(NC(=N)Nc1ccc(s1)CN)O,2774492,0.9700000286102295,0.7772572040557861,27,train
NCc1ccc(cc1)NC(=N)NB(O)C,2774493,0.9700003862380981,0.8676465749740601,30,train
NCc1cccc(c1)NC(=N)NB(O)C,2774495,0.9700002074241638,0.8676464557647705,30,train
CCB(C(=C([Si](C)(C)C)C=C)CC)CC,46684,1.0699996948242188,0.3966289460659027,42,train
Oc1ccc2c(c1)c(c[nH]2)C(C(N=C(C([2H])([2H])[2H])O)([2H])[2H])([2H])[2H],48358,0.9999998807907104,0.7245894074440002,30,train
CB(NC(=NB(O)C)C)O,2819400,1.0,0.6562327146530151,22,train
[2H]C(C(C(C(=O)O)([2H])[2H])([2H])[2H])O,58703,0.9999999403953552,0.7801244854927063,15,train
C1CCC2C(C1)OB(O2)C1C=CC=C1,60067,1.0319998264312744,0.43039482831954956,29,train
CB1OC2C(N1)C1(C(C2(C)C(=C1C)C)(C)C)C,69853,1.0199999809265137,0.7932519912719727,41,train
CC=COB(OC=CC)OC=CC,70628,1.0319998264312744,0.8105997443199158,28,train
CCCCC=CB(C(C)(C)C)OC(C)C,71886,1.0319997072219849,0.39214932918548584,42,train
OB(c1cncc(c1)C(=O)N(C)C)O,74972,0.9699999690055847,0.7177770137786865,25,train
CCC(=C1CCOB1N(C(C)C)C(C)C)C#N,80593,1.0699998140335083,0.6502519249916077,40,train
COC(C(C=CB1OC(C(O1)(C)C)(C)C)C)C,84093,1.0699998140335083,0.7885825037956238,42,train
CC[B-]([NH+]=C(c1ccccc1)C)(CC)CC,85252,1.0200001001358032,0.865481436252594,40,train
[2H]C(CCC)(NC(CCC)([2H])[2H])[2H],87499,1.0199999809265137,0.6531871557235718,28,train
[2H]C(C(C(C(C(C(C(C(O)([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])(C([2H])([2H])[2H])[2H],87604,1.0,0.7348487377166748,30,train
[2H]C(C(C(C(C(=O)OC)([2H])[2H])([2H])[2H])([2H])[2H])(C(C(C(C(=O)OC)([2H])[2H])([2H])[2H])([2H])[2H])[2H],87617,1.0699998140335083,0.7348487377166748,35,train
CCc1ccc(cc1)N=C(C([2H])([2H])[2H])O,90269,0.9370002746582031,0.5981338024139404,25,train
[As-]=[O+]C1CC2C(N1)CCCC2,90920,1.0199998617172241,0.4303949773311615,25,train
OCCC(C(C[B])(C)C)O,91809,1.0,0.7348498702049255,25,train
OCC12COCCC2(O)CC(O1)[B],92441,0.9999999403953552,0.27657246589660645,26,train
N#CC1C2CC=CCC2CN1B(O)C,92540,0.9700000286102295,0.7932519316673279,29,train
CCOC(=O)C1C2CC=CCC2CN1B(O)C,92553,1.0,0.7932518720626831,37,train
PCNC(C(OPC)[B])CC(=O)OC,94095,1.0199999809265137,0.5729420781135559,30,train
CCCN=C(NB(O)C)NB(O)C,1683116,0.9999999403953552,0.8517810106277466,30,train
CCC(CC(C(=O)O)NB(O)C)C,94779,0.9999997615814209,0.6576101183891296,31,train
CC=C(C(=O)OC)NB(O)C,95083,0.9699997305870056,0.6675485968589783,23,train
CC(CC(B(C)C)N=C(CN=C(O)C)O)C,95479,0.9369999766349792,0.6864388585090637,39,train
CB(N1CCN(CC1C)Cc1cccnc1)O,97321,0.9699999094009399,0.8112019300460815,37,train
B#SCOCCC(C(C#N)(C)C)C,98190,1.0699998140335083,0.7348393797874451,31,train
OCCC(C(CC)(C[B])C)O,98463,1.0,0.7348498702049255,28,train
CC(CC(C(=O)O)NC(=O)[B])C,98913,1.0000001192092896,0.6576099991798401,24,train
COc1cc(OC)c(c(c1)C(CC)C)B(O)O,100354,0.9999995231628418,0.5472996234893799,36,train
OCC1C2CCCCC2CN1C(=[B+])[O-],100534,0.9700000286102295,0.43039485812187195,30,train
OCC1C2CC=CCC2CN1C(=[B+])[O-],100536,0.9700000286102295,0.7932519912719727,28,train
PNCC(C(C(C(CO)O)OC)O[B])C,102620,0.9699999094009399,0.492445170879364,34,train
CC=C(C[As](=O)(O)O)C=C,107473,0.9699998497962952,0.665932297706604,21,train
CON(C(=O)C(C(C)C)NB(O)C)C,109283,0.9700000286102295,0.5986966490745544,33,train
